dataset,representation,operation,accuracy,convolution_algorithm,classification_algorithm
BasicMotions,RP,sum,0.9,Rocket,Ridge
BasicMotions,RP,sum,0.775,MiniRocket,Ridge
BasicMotions,RP,subtraction,0.725,,Ridge
BasicMotions,RP,subtraction,0.975,Rocket,Ridge
BasicMotions,RP,subtraction,0.75,MiniRocket,Ridge
BasicMotions,RP,dot_product,0.4,,Ridge
BasicMotions,RP,dot_product,0.25,Rocket,Ridge
BasicMotions,RP,dot_product,0.25,MiniRocket,Ridge
BasicMotions,RP,element_wise,0.575,,Ridge
BasicMotions,RP,element_wise,0.775,Rocket,Ridge
BasicMotions,RP,element_wise,0.625,MiniRocket,Ridge
BasicMotions,MTF,sum,0.775,,Ridge
BasicMotions,MTF,sum,0.925,Rocket,Ridge
BasicMotions,MTF,sum,0.75,MiniRocket,Ridge
BasicMotions,MTF,subtraction,0.65,,Ridge
BasicMotions,MTF,subtraction,0.85,Rocket,Ridge
BasicMotions,MTF,subtraction,0.75,MiniRocket,Ridge
BasicMotions,MTF,dot_product,0.35,,Ridge
BasicMotions,MTF,dot_product,0.25,Rocket,Ridge
BasicMotions,MTF,dot_product,0.25,MiniRocket,Ridge
BasicMotions,MTF,element_wise,0.45,,Ridge
BasicMotions,MTF,element_wise,0.925,Rocket,Ridge
BasicMotions,MTF,element_wise,0.85,MiniRocket,Ridge
BasicMotions,GASF,sum,0.4,,Ridge
BasicMotions,GASF,sum,0.8,Rocket,Ridge
BasicMotions,GASF,sum,0.725,MiniRocket,Ridge
BasicMotions,GASF,subtraction,0.4,,Ridge
BasicMotions,GASF,subtraction,0.85,Rocket,Ridge
BasicMotions,GASF,subtraction,0.675,MiniRocket,Ridge
BasicMotions,GASF,dot_product,0.175,,Ridge
BasicMotions,GASF,dot_product,0.25,Rocket,Ridge
BasicMotions,GASF,dot_product,0.25,MiniRocket,Ridge
BasicMotions,GASF,element_wise,0.5,,Ridge
BasicMotions,GASF,element_wise,0.65,Rocket,Ridge
BasicMotions,GASF,element_wise,0.45,MiniRocket,Ridge
BasicMotions,GADF,sum,0.5,,Ridge
BasicMotions,GADF,sum,0.9,Rocket,Ridge
BasicMotions,GADF,sum,0.825,MiniRocket,Ridge
BasicMotions,GADF,subtraction,0.375,,Ridge
BasicMotions,GADF,subtraction,0.925,Rocket,Ridge
BasicMotions,GADF,subtraction,0.85,MiniRocket,Ridge
BasicMotions,GADF,dot_product,0.225,,Ridge
BasicMotions,GADF,dot_product,0.25,Rocket,Ridge
BasicMotions,GADF,dot_product,0.25,MiniRocket,Ridge
BasicMotions,GADF,element_wise,0.375,,Ridge
BasicMotions,GADF,element_wise,0.575,Rocket,Ridge
BasicMotions,GADF,element_wise,0.7,MiniRocket,Ridge
BasicMotions,FIRTS,sum,0.85,,Ridge
BasicMotions,FIRTS,sum,0.95,Rocket,Ridge
BasicMotions,FIRTS,sum,0.775,MiniRocket,Ridge
BasicMotions,FIRTS,subtraction,0.8,,Ridge
BasicMotions,FIRTS,subtraction,0.875,Rocket,Ridge
BasicMotions,FIRTS,subtraction,0.775,MiniRocket,Ridge
BasicMotions,FIRTS,dot_product,0.375,,Ridge
BasicMotions,FIRTS,dot_product,0.25,Rocket,Ridge
BasicMotions,FIRTS,dot_product,0.25,MiniRocket,Ridge
BasicMotions,FIRTS,element_wise,0.725,,Ridge
BasicMotions,FIRTS,element_wise,0.925,Rocket,Ridge
BasicMotions,FIRTS,element_wise,0.675,MiniRocket,Ridge
BasicMotions,CWT,sum,0.4,,Ridge
BasicMotions,CWT,sum,0.525,Rocket,Ridge
BasicMotions,CWT,sum,0.3,MiniRocket,Ridge
BasicMotions,CWT,subtraction,0.35,,Ridge
BasicMotions,CWT,subtraction,0.675,Rocket,Ridge
BasicMotions,CWT,subtraction,0.6,MiniRocket,Ridge
BasicMotions,CWT,dot_product,0.225,,Ridge
BasicMotions,CWT,dot_product,0.25,Rocket,Ridge
BasicMotions,CWT,dot_product,0.25,MiniRocket,Ridge
BasicMotions,CWT,element_wise,0.5,,Ridge
BasicMotions,CWT,element_wise,0.5,Rocket,Ridge
BasicMotions,CWT,element_wise,0.325,MiniRocket,Ridge
CharacterTrajectories,RP,sum,0.8697771587743732,,Ridge
CharacterTrajectories,RP,sum,0.945682451253482,Rocket,Ridge
CharacterTrajectories,RP,sum,0.9220055710306406,MiniRocket,Ridge
CharacterTrajectories,RP,subtraction,0.5543175487465181,,Ridge
CharacterTrajectories,RP,subtraction,0.6392757660167131,Rocket,Ridge
CharacterTrajectories,RP,subtraction,0.5947075208913649,MiniRocket,Ridge
CharacterTrajectories,RP,dot_product,0.8440111420612814,,Ridge
CharacterTrajectories,RP,dot_product,0.9052924791086352,Rocket,Ridge
CharacterTrajectories,RP,dot_product,0.8844011142061281,MiniRocket,Ridge
CharacterTrajectories,RP,element_wise,0.8474930362116991,,Ridge
CharacterTrajectories,RP,element_wise,0.908774373259053,Rocket,Ridge
CharacterTrajectories,RP,element_wise,0.8523676880222841,MiniRocket,Ridge
CharacterTrajectories,MTF,sum,0.8405292479108635,,Ridge
CharacterTrajectories,MTF,sum,0.9129526462395544,Rocket,Ridge
CharacterTrajectories,MTF,sum,0.8516713091922006,MiniRocket,Ridge
CharacterTrajectories,MTF,subtraction,0.5229805013927576,,Ridge
CharacterTrajectories,MTF,subtraction,0.5584958217270195,Rocket,Ridge
CharacterTrajectories,MTF,subtraction,0.5,MiniRocket,Ridge
CharacterTrajectories,MTF,dot_product,0.8293871866295265,,Ridge
CharacterTrajectories,MTF,dot_product,0.8913649025069638,Rocket,Ridge
CharacterTrajectories,MTF,dot_product,0.8746518105849582,MiniRocket,Ridge
CharacterTrajectories,MTF,element_wise,0.8147632311977716,,Ridge
